Start Time (UTC),End Time (UTC),Variation Name,Variation ID,Is Baseline Variation,Metric Event Name,Metric Event ID,Metric Numerator Type,Metric Denominator Type,Metric Winning Direction,Numerator Value,Denominator Value,Metric Value,Improvement Status from Baseline,Improvement Value from Baseline,Statistical Significance,Is Improvement Significant,Confidence Interval - Low,Confidence Interval - High,Samples Remaining to Significance
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Project Created""",16688790338,unique conversions,visitor,increasing,50834,61466,0.827026323,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Project Created""",16688790338,total conversions,visitor,increasing,249742,61499,4.06091156,better,0.398238757,1,TRUE,0.390377831,0.44418365,0
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Project Created""",16688790338,total conversions,visitor,increasing,269790,61325,4.399347737,better,0.514767909,1,TRUE,0.492044369,0.578431881,0
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Project Created""",16688790338,total conversions,visitor,increasing,178516,61466,2.904304819,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Banner Viewed""",20928622115,unique conversions,visitor,increasing,50260,61499,0.817249061,better,0.053898766,1,TRUE,0.046774016,0.064520301,0
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Banner Viewed""",20928622115,unique conversions,visitor,increasing,49970,61325,0.814838973,better,0.050790792,1,TRUE,0.041545465,0.061438212,0
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Banner Viewed""",20928622115,unique conversions,visitor,increasing,47664,61466,0.775453096,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2023/01/09 11:46,2023/03/17 21:59,"""treatment-7""",22587821189,FALSE,"""Banner Viewed""",20928622115,total conversions,visitor,increasing,281954,61499,4.584692434,better,0.472839004,1,TRUE,0.425175972,0.536667178,0
2023/01/09 11:46,2023/03/17 21:59,"""treatment-14""",22590270772,FALSE,"""Banner Viewed""",20928622115,total conversions,visitor,increasing,284819,61325,4.644419079,better,0.492026274,1,TRUE,0.471153546,0.538434565,0
2023/01/09 11:46,2023/03/17 21:59,"""control""",22601680549,TRUE,"""Banner Viewed""",20928622115,total conversions,visitor,increasing,191333,61466,3.112826603,n/a,n/a,n/a,n/a,n/a,n/a,n/a
